"pulldown_code","pulldown_value"
"01","安徽省"
"01","北京市"
"01","重庆市"
"01","福建省"
"01","甘肃省"
"01","广东省"
"01","广西壮族自治区"
"01","贵州省"
"01","海南省"
"01","河北省"
"01","河南省"
"01","黑龙江省"
"01","湖北省"
"01","湖南省"
"01","吉林省"
"01","江苏省"
"01","江西省"
"01","辽宁省"
"01","内蒙古自治区"
"01","宁夏回族自治区"
"01","青海省"
"01","山东省"
"01","山西省"
"01","陕西省"
"01","上海市"
"01","四川省"
"01","天津市"
"01","西藏自治区"
"01","新疆维吾尔自治区"
"01","香港特别行政区"
"01","云南省"
"01","日本"
"01","美国"
"01","英国"
"01","台湾"
"01","欧洲-其他"
"01","亚洲-其他"
"01","非洲-其他"
"01","北美洲-其他"
"01","南美洲-其他"
"01","大洋洲-其他"
"01","南极-其他"
"02","北海道"
"02","青森県"
"02","宮城県"
"02","秋田県"
"02","山形県"
"02","福島県"
"02","茨城県"
"02","栃木県"
"02","群馬県"
"02","埼玉県"
"02","東京都"
"02","神奈川県"
"02","新潟県"
"02","富山県"
"02","石川県"
"02","福井県"
"02","山梨県"
"02","長野県"
"02","岐阜県"
"02","静岡県"
"02","愛知県"
"02","三重県"
"02","滋賀県"
"02","京都府"
"02","大阪府"
"02","兵庫県"
"02","奈良県"
"02","和歌山県"
"02","鳥取県"
"02","島根県"
"02","岡山県"
"02","広島県"
"02","山口県"
"02","東徳島県"
"02","香川県"
"02","愛媛県"
"02","高知県"
"02","福岡県"
"02","佐賀県"
"02","長崎県"
"02","熊本県"
"02","大分県"
"02","宮崎県"
"02","鹿児島県"
"02","沖縄県"
"03","机构组织"
"03","农林牧渔"
"03","建筑建材"
"03","冶金矿产"
"03","石油化工"
"03","水利水电"
"03","交通运输"
"03","信息产业"
"03","机械机电"
"03","轻工食品"
"03","服装纺织"
"03","专业服务"
"03","安全防护"
"03","环保绿化"
"03","旅游休闲"
"03","办公文教"
"03","电子电工"
"03","玩具礼品"
"03","家居用品"
"03","物资"
"03","包装"
"03","体育"
"03","办公"
